DATE,STATION,LONGITUDE,TMAX,ELEVATION,TMIN,PRCP,LATITUDE,NAME
2010-01-01,USC00457180,-117.36364,5.6,737.6,1.7,11.4,47.23446,"ROSALIA, WA US"
2010-01-02,USC00457180,-117.36364,7.2,737.6,1.7,0.0,47.23446,"ROSALIA, WA US"
2010-01-03,USC00457180,-117.36364,4.4,737.6,-1.1,0.0,47.23446,"ROSALIA, WA US"
2010-01-04,USC00457180,-117.36364,5.6,737.6,1.7,1.3,47.23446,"ROSALIA, WA US"
2010-01-05,USC00457180,-117.36364,3.9,737.6,0.0,8.4,47.23446,"ROSALIA, WA US"
2010-01-06,USC00457180,-117.36364,1.1,737.6,-4.4,0.0,47.23446,"ROSALIA, WA US"
2010-01-07,USC00457180,-117.36364,-0.6,737.6,-7.8,0.0,47.23446,"ROSALIA, WA US"
2010-01-08,USC00457180,-117.36364,0.0,737.6,-7.8,0.0,47.23446,"ROSALIA, WA US"
2010-01-09,USC00457180,-117.36364,1.7,737.6,-5.0,2.5,47.23446,"ROSALIA, WA US"
2010-01-10,USC00457180,-117.36364,2.8,737.6,-3.9,5.6,47.23446,"ROSALIA, WA US"
2010-01-11,USC00457180,-117.36364,8.3,737.6,1.1,0.0,47.23446,"ROSALIA, WA US"
2010-01-12,USC00457180,-117.36364,11.7,737.6,3.3,0.0,47.23446,"ROSALIA, WA US"
2010-01-13,USC00457180,-117.36364,10.0,737.6,1.7,3.3,47.23446,"ROSALIA, WA US"
2010-01-14,USC00457180,-117.36364,8.3,737.6,0.6,3.0,47.23446,"ROSALIA, WA US"
2010-01-15,USC00457180,-117.36364,8.3,737.6,1.1,1.3,47.23446,"ROSALIA, WA US"
2010-01-16,USC00457180,-117.36364,11.1,737.6,3.3,0.0,47.23446,"ROSALIA, WA US"
2010-01-17,USC00457180,-117.36364,6.1,737.6,2.8,2.5,47.23446,"ROSALIA, WA US"
2010-01-18,USC00457180,-117.36364,9.4,737.6,2.2,2.0,47.23446,"ROSALIA, WA US"
2010-01-19,USC00457180,-117.36364,12.8,737.6,2.2,1.3,47.23446,"ROSALIA, WA US"
2010-01-20,USC00457180,-117.36364,11.7,737.6,1.7,0.0,47.23446,"ROSALIA, WA US"
2010-01-21,USC00457180,-117.36364,11.1,737.6,1.7,0.0,47.23446,"ROSALIA, WA US"
2010-01-22,USC00457180,-117.36364,11.1,737.6,0.6,0.0,47.23446,"ROSALIA, WA US"
2010-01-23,USC00457180,-117.36364,11.7,737.6,-1.1,2.0,47.23446,"ROSALIA, WA US"
2010-01-24,USC00457180,-117.36364,3.9,737.6,-1.1,1.3,47.23446,"ROSALIA, WA US"
2010-01-25,USC00457180,-117.36364,8.3,737.6,0.6,1.3,47.23446,"ROSALIA, WA US"
2010-01-26,USC00457180,-117.36364,5.6,737.6,-0.6,3.0,47.23446,"ROSALIA, WA US"
2010-01-27,USC00457180,-117.36364,4.4,737.6,-1.7,0.0,47.23446,"ROSALIA, WA US"
2010-01-28,USC00457180,-117.36364,6.7,737.6,-1.7,0.0,47.23446,"ROSALIA, WA US"
2010-01-29,USC00457180,-117.36364,7.2,737.6,0.6,0.0,47.23446,"ROSALIA, WA US"
2010-01-30,USC00457180,-117.36364,8.9,737.6,1.1,0.0,47.23446,"ROSALIA, WA US"
2010-01-31,USC00457180,-117.36364,8.3,737.6,1.7,0.0,47.23446,"ROSALIA, WA US"
2010-02-01,USC00457180,-117.36364,3.9,737.6,0.6,2.5,47.23446,"ROSALIA, WA US"
2010-02-02,USC00457180,-117.36364,8.9,737.6,1.1,1.3,47.23446,"ROSALIA, WA US"
2010-02-03,USC00457180,-117.36364,7.2,737.6,-1.7,0.0,47.23446,"ROSALIA, WA US"
2010-02-04,USC00457180,-117.36364,8.3,737.6,0.6,0.0,47.23446,"ROSALIA, WA US"
2010-02-05,USC00457180,-117.36364,11.7,737.6,2.8,1.3,47.23446,"ROSALIA, WA US"
2010-02-06,USC00457180,-117.36364,6.7,737.6,-1.1,2.5,47.23446,"ROSALIA, WA US"
2010-02-07,USC00457180,-117.36364,10.6,737.6,-2.2,0.0,47.23446,"ROSALIA, WA US"
2010-02-08,USC00457180,-117.36364,8.3,737.6,-1.1,0.0,47.23446,"ROSALIA, WA US"
2010-02-09,USC00457180,-117.36364,5.6,737.6,-0.6,0.0,47.23446,"ROSALIA, WA US"
2010-02-10,USC00457180,-117.36364,6.7,737.6,0.6,0.0,47.23446,"ROSALIA, WA US"
2010-02-11,USC00457180,-117.36364,7.8,737.6,1.7,3.8,47.23446,"ROSALIA, WA US"
2010-02-12,USC00457180,-117.36364,7.2,737.6,1.7,3.3,47.23446,"ROSALIA, WA US"
2010-02-13,USC00457180,-117.36364,9.4,737.6,-0.6,3.0,47.23446,"ROSALIA, WA US"
2010-02-14,USC00457180,-117.36364,10.6,737.6,2.8,0.0,47.23446,"ROSALIA, WA US"
2010-02-15,USC00457180,-117.36364,9.4,737.6,3.3,5.6,47.23446,"ROSALIA, WA US"
2010-02-16,USC00457180,-117.36364,8.9,737.6,1.7,2.5,47.23446,"ROSALIA, WA US"
2010-02-17,USC00457180,-117.36364,8.3,737.6,0.0,0.0,47.23446,"ROSALIA, WA US"
2010-02-18,USC00457180,-117.36364,8.3,737.6,-1.1,0.0,47.23446,"ROSALIA, WA US"
2010-02-19,USC00457180,-117.36364,11.1,737.6,-2.2,0.0,47.23446,"ROSALIA, WA US"
2010-02-20,USC00457180,-117.36364,8.3,737.6,-5.6,0.0,47.23446,"ROSALIA, WA US"
2010-02-21,USC00457180,-117.36364,8.9,737.6,-3.9,0.0,47.23446,"ROSALIA, WA US"
2010-02-22,USC00457180,-117.36364,7.8,737.6,-3.9,0.0,47.23446,"ROSALIA, WA US"
2010-02-23,USC00457180,-117.36364,8.3,737.6,-2.2,0.0,47.23446,"ROSALIA, WA US"
2010-02-24,USC00457180,-117.36364,10.6,737.6,-0.6,3.8,47.23446,"ROSALIA, WA US"
2010-02-25,USC00457180,-117.36364,7.2,737.6,0.0,0.0,47.23446,"ROSALIA, WA US"
2010-02-26,USC00457180,-117.36364,6.7,737.6,0.6,0.0,47.23446,"ROSALIA, WA US"
2010-02-27,USC00457180,-117.36364,10.0,737.6,0.6,0.0,47.23446,"ROSALIA, WA US"
2010-02-28,USC00457180,-117.36364,11.1,737.6,-0.6,0.0,47.23446,"ROSALIA, WA US"
2010-03-01,USC00457180,-117.36364,12.2,737.6,0.6,0.0,47.23446,"ROSALIA, WA US"
2010-03-02,USC00457180,-117.36364,17.8,737.6,4.4,0.0,47.23446,"ROSALIA, WA US"
2010-03-03,USC00457180,-117.36364,16.7,737.6,3.9,0.0,47.23446,"ROSALIA, WA US"
2010-03-04,USC00457180,-117.36364,14.4,737.6,1.1,2.0,47.23446,"ROSALIA, WA US"
2010-03-05,USC00457180,-117.36364,10.6,737.6,-3.3,0.0,47.23446,"ROSALIA, WA US"
2010-03-06,USC00457180,-117.36364,11.7,737.6,-1.7,0.0,47.23446,"ROSALIA, WA US"
2010-03-07,USC00457180,-117.36364,13.3,737.6,-1.1,0.0,47.23446,"ROSALIA, WA US"
2010-03-08,USC00457180,-117.36364,14.4,737.6,1.7,0.0,47.23446,"ROSALIA, WA US"
2010-03-09,USC00457180,-117.36364,6.7,737.6,-4.4,0.0,47.23446,"ROSALIA, WA US"
2010-03-10,USC00457180,-117.36364,5.6,737.6,-6.7,0.0,47.23446,"ROSALIA, WA US"
2010-03-11,USC00457180,-117.36364,6.7,737.6,-4.4,0.0,47.23446,"ROSALIA, WA US"
